id,dish_id,dish,rating,title,content,author,date,helpful_votes,verified_cook
r001,ribeye,숯불 향 입힌 등심 스테이크,5,30초마다 뒤집는 게 진짜였다,반신반의하면서 30초마다 뒤집었는데 잘랐을 때 회색 띠가 거의 없었습니다. 한 번에 오래 굽던 때랑 단면이 완전히 다릅니다.,야식대장,2026-08-10,42,true
r002,ribeye,숯불 향 입힌 등심 스테이크,4,쉬게 두는 8분을 못 참았다,바로 썰었더니 육즙이 도마에 다 흘렀습니다. 맛은 있었는데 두 번째 만들 때 8분 지키니까 확실히 촉촉했어요.,십오분한끼,2026-08-11,31,true
r003,ribeye,숯불 향 입힌 등심 스테이크,3,인덕션은 3분 더 달궈야 함,연기가 안 올라와서 그대로 올렸다가 겉이 안 익었습니다. 화력 약한 집은 예열을 더 오래 하세요.,냉털장인,2026-08-12,27,true
r004,ribeye,숯불 향 입힌 등심 스테이크,5,물기 닦기가 절반,"키친타월로 눌러 닦는 걸 건너뛰었을 때랑 했을 때를 비교해봤는데, 갈색 껍질이 생기고 안 생기고가 여기서 갈립니다.",불꽃요리사,2026-08-13,55,true
r005,ribeye,숯불 향 입힌 등심 스테이크,4,버터는 정말 나중에,처음부터 넣었다가 태워서 쓴맛이 배었습니다. 불 끄고 넣으라는 말이 괜한 게 아니었어요.,자취9년차,2026-08-14,19,true
r006,ribeye,숯불 향 입힌 등심 스테이크,2,500g은 2인분치고 많다,둘이 먹기엔 남았습니다. 400g으로 줄여도 충분할 것 같아요. 맛 자체는 좋았습니다.,기름없이바삭,2026-08-15,8,true
r007,ribeye,숯불 향 입힌 등심 스테이크,5,실온 30분이 포인트,"냉장고에서 바로 꺼내 구웠을 땐 속이 차가웠는데, 30분 두니까 속까지 고르게 익었습니다.",마라중독자,2026-08-16,23,true
r008,carbonara,계란 안 익히는 까르보나라,5,불 끄고 30초가 핵심,여태 불 켜놓고 계란물 부어서 다 스크램블 만들었습니다. 30초 기다리니까 한 번에 성공했어요.,자취9년차,2026-08-08,61,true
r009,carbonara,계란 안 익히는 까르보나라,4,베이컨은 기름 좀 덜어내세요,관찰레가 없어서 베이컨으로 했는데 기름이 너무 많이 나왔습니다. 반쯤 덜어내니 딱 좋았어요.,기름없이바삭,2026-08-09,24,true
r010,carbonara,계란 안 익히는 까르보나라,5,면수 안 버리길 잘했다,뻑뻑해서 맹물 넣었더니 그냥 묽어지기만 하더군요. 면수로 하니까 소스가 붙습니다.,십오분한끼,2026-08-09,38,true
r011,carbonara,계란 안 익히는 까르보나라,3,치즈 60g은 좀 짜다,"페코리노로 했더니 짰습니다. 파르미지아노 반, 페코리노 반으로 하니 알맞았어요.",디저트요정,2026-08-10,15,true
r012,carbonara,계란 안 익히는 까르보나라,5,1분 짧게 삶는 게 맞다,봉지 시간대로 삶았다가 팬에서 더 익어서 퍼졌습니다. 1분 짧게가 정답입니다.,야식대장,2026-08-11,29,true
r013,carbonara,계란 안 익히는 까르보나라,4,후추는 아끼지 마세요,넉넉히 갈아 넣으니까 확실히 파스타집 맛이 납니다. 통후추 갈아 쓰세요.,냉털장인,2026-08-12,12,true
r014,cacao,흑임자 카카오 스피어,5,흑임자 볶는 3분 꼭 하세요,귀찮아서 그냥 갈았을 때랑 볶고 갈았을 때 향이 세 배쯤 다릅니다. 이 3분이 전부입니다.,마라중독자,2026-08-04,33,true
r015,cacao,흑임자 카카오 스피어,3,반구 붙이는 게 제일 어렵다,단면 녹이는 정도를 못 맞춰서 두 개 깨먹었습니다. 팬을 아주 살짝만 데우세요.,오븐없이굽기,2026-08-05,21,true
r016,cacao,흑임자 카카오 스피어,5,코팅용 초콜릿 추천,템퍼링 못해서 포기했었는데 컴파운드로 하니까 그냥 굳습니다. 처음이면 이게 맞아요.,십오분한끼,2026-08-05,40,true
r017,cacao,흑임자 카카오 스피어,4,생크림은 끓이면 안 됩니다,팔팔 끓였다가 분리됐습니다. 끓기 직전에 불 끄고 부으세요.,디저트요정,2026-08-06,26,true
r018,cacao,흑임자 카카오 스피어,4,선물용으로 좋았어요,모양이 예뻐서 포장했더니 반응이 좋았습니다. 다만 여름엔 금방 물러요.,자취9년차,2026-08-07,11,true
r019,cacao,흑임자 카카오 스피어,2,몰드가 없으면 못 만든다,반구 몰드를 안 사서 종이컵으로 시도했다가 실패했습니다. 몰드는 필수입니다.,야식대장,2026-08-07,9,false
r020,gyeran,물 한 컵으로 만드는 계란찜,5,마지막 1분 강불이 전부,이거 안 하면 그냥 평평한 계란찜입니다. 1분 올리니까 진짜 솟아올랐어요.,자취9년차,2026-08-02,74,true
r021,gyeran,물 한 컵으로 만드는 계란찜,4,체에 거르는 거 하세요,귀찮아서 건너뛰었더니 표면이 거칠었습니다. 한 단계 늘어나도 결과가 다릅니다.,십오분한끼,2026-08-02,35,true
r022,gyeran,물 한 컵으로 만드는 계란찜,3,냄비로는 덜 부푼다,뚝배기가 없어서 작은 냄비로 했더니 덜 부풀었습니다. 열이 오래 머무는 그릇이 필요해요.,야식대장,2026-08-03,28,true
r023,gyeran,물 한 컵으로 만드는 계란찜,5,1대1 비율만 외우면 끝,계란 3개에 종이컵 하나. 이거 하나만 알면 매번 같은 게 나옵니다.,냉털장인,2026-08-03,46,true
r024,gyeran,물 한 컵으로 만드는 계란찜,4,새우젓이 소금보다 낫다,소금으로도 되는데 새우젓 넣으니 감칠맛이 확 올라옵니다.,불꽃요리사,2026-08-04,18,true
r025,gyeran,물 한 컵으로 만드는 계란찜,5,아이도 잘 먹어요,간을 반만 하고 만들어 줬더니 한 그릇 다 먹었습니다. 12분이면 되니 자주 합니다.,기름없이바삭,2026-08-05,22,true
r026,gyeran,물 한 컵으로 만드는 계란찜,1,물 조절 실패하면 망함,물을 눈대중으로 넣었다가 흐물흐물해졌습니다. 180ml 정확히 재세요.,마라중독자,2026-08-06,14,true
r027,bibim,남은 나물로 만드는 비빔국수,5,양념장 비율 외웠습니다,고추장 2 식초 1 설탕 1 참기름 1. 미리 만들어 두니까 5분 컷입니다.,십오분한끼,2026-08-20,52,true
r028,bibim,남은 나물로 만드는 비빔국수,5,얼음물 단계 하세요,찬물만 헹궜을 때랑 얼음물에 담갔을 때 씹는 맛이 완전히 다릅니다.,기름없이바삭,2026-08-20,37,true
r029,bibim,남은 나물로 만드는 비빔국수,4,나물이 짜면 식초를 늘리세요,간장 나물이라 짰는데 식초 반 큰술 더 넣으니 맞았습니다.,냉털장인,2026-08-21,16,true
r030,bibim,남은 나물로 만드는 비빔국수,4,냉장고 정리에 딱,애매하게 남은 시금치랑 콩나물 다 넣었습니다. 뭘 넣어도 맛이 안 흔들려요.,자취9년차,2026-08-21,25,true
r031,bibim,남은 나물로 만드는 비빔국수,3,면 헹구는 게 은근 오래 걸림,두세 번 헹구라는데 전분이 잘 안 빠집니다. 여유 있게 잡으세요.,야식대장,2026-08-22,7,true
r032,bibim,남은 나물로 만드는 비빔국수,5,밥에 비벼도 됩니다,국수 없어서 찬밥에 비볐는데 그것도 좋았습니다. 양념장이 좋아요.,오븐없이굽기,2026-08-22,13,true
r033,curry,토마토 두 알로 끓인 카레,5,토마토 순서가 이유가 있었다,가루 먼저 넣고 토마토 넣었다가 덩어리 져서 고생했습니다. 순서 지키세요.,냉털장인,2026-08-18,44,true
r034,curry,토마토 두 알로 끓인 카레,5,다음 날이 더 맛있어요,4인분 해서 나눠 뒀는데 다음 날 데워 먹으니 더 깊습니다. 밀프렙으로 좋아요.,오븐없이굽기,2026-08-18,30,true
r035,curry,토마토 두 알로 끓인 카레,4,양파 7분은 지키세요,갈색 될 때까지 볶으라는데 3분에 끊었더니 단맛이 덜했습니다.,자취9년차,2026-08-19,20,true
r036,curry,토마토 두 알로 끓인 카레,4,불 끄고 카레 넣기,끓는 데 넣었다가 겉만 녹고 속은 덩어리로 남았습니다. 불 끄고 푸세요.,십오분한끼,2026-08-19,26,true
r037,curry,토마토 두 알로 끓인 카레,3,토마토가 물러야 함,덜 익은 토마토로 했더니 신맛만 났습니다. 완숙으로 쓰세요.,마라중독자,2026-08-20,11,true
